index,name,prompt,negative_prompt,category,weight,favorite
1,Walk Forward,<Subject 1> walks forward with smooth natural steps and stable body movement.,,Action,1,
2,Turn to Camera,<Subject 1> turns gradually toward the camera and settles into direct readable framing.,,Action,1,
3,Look Over Shoulder,<Subject 1> looks back over the shoulder with a controlled and natural motion.,,Action,1,
4,Stand and Breathe,<Subject 1> remains standing with subtle breathing and minimal body motion.,,Action,1,
5,Wave,<Subject 1> gives a small natural wave with controlled hand movement.,,Action,1,
6,Sit Down,<Subject 1> sits down in a physically believable motion and settles naturally.,,Action,1,
7,Stand Up,<Subject 1> rises smoothly to a standing position in a physically believable motion.,,Action,1,
8,Slow Spin,<Subject 1> performs one slow controlled turn and settles back into a stable stance.,,Action,1,
9,Hair Adjustment,"<Subject 1> makes a small natural hair adjustment with one hand, then settles.",,Action,1,
10,Hands on Hips,<Subject 1> places both hands on the hips and holds the pose confidently.,,Action,1,
