name,prompt,negative_prompt,category,weight,favorite
0001 | Urban/Neon Alley,"rainy neon-lit city alley, layered signs, reflective pavement, atmospheric steam, detailed urban depth","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Urban,1.0,False
0002 | Urban/Luxury Penthouse,"luxury penthouse interior, floor-to-ceiling windows, refined modern furniture, city skyline at night","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Urban,1.0,False
0003 | Urban/Industrial Loft,"industrial loft, exposed brick and beams, large windows, curated modern furnishings, textured daylight","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Urban,1.0,False
0004 | Urban/Subway Platform,"modern subway platform, strong leading lines, practical fluorescent light, believable commuter detail","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Urban,1.0,False
0005 | Urban/Rooftop Sunset,"city rooftop at sunset, skyline silhouettes, warm wind, layered atmospheric distance","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Urban,1.0,False
0006 | Nature/Ancient Forest,"ancient forest with massive trees, moss, filtered light, layered mist, rich botanical detail","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Nature,1.0,False
0007 | Nature/Alpine Lake,"clear alpine lake, dramatic mountain reflections, crisp air, natural stone foreground","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Nature,1.0,False
0008 | Nature/Desert Dunes,"expansive desert dunes, wind-shaped ridges, distant heat haze, minimal dramatic sky","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Nature,1.0,False
0009 | Nature/Rocky Coast,"rugged rocky coastline, ocean spray, layered cliffs, moody changing weather","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Nature,1.0,False
0010 | Nature/Wildflower Meadow,"wide wildflower meadow, gentle hills, varied botanical detail, soft summer light","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Nature,1.0,False
0011 | Fantasy/Enchanted Library,"vast enchanted library, towering shelves, floating lights, carved wood, magical scholarly atmosphere","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Fantasy,1.0,False
0012 | Fantasy/Crystal Cavern,"enormous crystal cavern, luminous mineral formations, reflective pools, deep magical atmosphere","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Fantasy,1.0,False
0013 | Fantasy/Ruined Temple,"ancient ruined temple overtaken by vegetation, monumental stone, shafts of light, forgotten history","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Fantasy,1.0,False
0014 | Fantasy/Royal Throne Hall,"grand fantasy throne hall, towering columns, banners, polished stone, ceremonial depth","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Fantasy,1.0,False
0015 | Fantasy/Floating Islands,"floating islands above clouds, waterfalls falling into mist, distant bridges, epic sky scale","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Fantasy,1.0,False
0016 | Sci-Fi/Orbital Station,"advanced orbital station interior, panoramic planet view, clean functional design, layered technology","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Sci-Fi,1.0,False
0017 | Sci-Fi/Cyberpunk Market,"dense cyberpunk night market, food stalls, holographic signs, rain, varied crowd silhouettes","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Sci-Fi,1.0,False
0018 | Sci-Fi/Alien Desert,"alien desert landscape, unfamiliar rock formations, multiple moons, atmospheric colored haze","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Sci-Fi,1.0,False
0019 | Sci-Fi/Starship Bridge,"professional starship bridge, coherent control stations, panoramic space view, mission-focused lighting","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Sci-Fi,1.0,False
0020 | Sci-Fi/Biotech Lab,"advanced biotechnology laboratory, glass culture chambers, clean scientific equipment, subtle organic technology","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Sci-Fi,1.0,False
0021 | Historical/Victorian Street,"Victorian city street, gas lamps, wet cobbles, period storefronts, atmospheric fog","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Historical,1.0,False
0022 | Historical/1920s Jazz Club,"1920s jazz club interior, art-deco detail, intimate tables, warm stage light, period authenticity","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Historical,1.0,False
0023 | Historical/Renaissance Court,"Renaissance palace court, frescoes, carved stone, rich textiles, formal ceremonial space","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Historical,1.0,False
0024 | Historical/1940s Office,"1940s administrative office, wooden desks, paper files, period lamps, authentic utilitarian detail","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Historical,1.0,False
0025 | Horror/Abandoned Hospital,"abandoned hospital corridor, peeling paint, old equipment, sparse flickering light, quiet dread","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Horror,1.0,False
0026 | Horror/Haunted Mansion,"decaying haunted mansion interior, grand staircase, faded portraits, dust, moonlit shadows","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Horror,1.0,False
0027 | Horror/Foggy Cemetery,"old cemetery in heavy fog, crooked monuments, bare trees, restrained moonlight","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Horror,1.0,False
0028 | Domestic/Modern Kitchen,"premium modern kitchen, warm natural materials, believable lived-in details, clean daylight","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Domestic,1.0,False
0029 | Domestic/Cozy Bedroom,"cozy adult bedroom, layered textiles, warm lamps, personal objects, tasteful comfortable atmosphere","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Domestic,1.0,False
0030 | Domestic/Artist Studio,"working artist studio, canvases, brushes, paint marks, tall windows, authentic creative clutter","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Domestic,1.0,False
0031 | Luxury/Grand Hotel Lobby,"grand luxury hotel lobby, marble, warm chandeliers, elegant seating, deep architectural perspective","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Luxury,1.0,False
0032 | Luxury/Private Yacht,"private yacht deck, polished materials, open sea horizon, refined leisure setting, bright natural light","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Luxury,1.0,False
0033 | Travel/Tokyo Night Street,"Tokyo night street, layered signage, narrow storefronts, rain reflections, authentic urban density","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Travel,1.0,False
0034 | Travel/Mediterranean Village,"Mediterranean hillside village, white stone walls, blue sea, flowers, warm sunlight","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Travel,1.0,False
0035 | Travel/Parisian Cafe,"Parisian sidewalk cafe, period facade, small tables, soft street activity, elegant natural light","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Travel,1.0,False
0036 | Minimal/Seamless Studio,"seamless studio background, subtle floor gradient, clean professional space, no distracting objects","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Minimal,1.0,False
0037 | Minimal/Architectural Concrete,"minimal concrete architecture, large geometric planes, restrained palette, strong directional light","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Minimal,1.0,False
0038 | Surreal/Endless Corridor,"impossible endless corridor, repeating doors, coherent perspective, quiet surreal atmosphere","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Surreal,1.0,False
0039 | Surreal/Cloud Room,"interior room opening into luminous clouds, realistic furniture, dreamlike seamless transition","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Surreal,1.0,False
0040 | Surreal/Mirror Landscape,"landscape of enormous reflective planes, sky and terrain repeating in controlled surreal geometry","low quality, blurry, malformed anatomy, distorted face, bad hands, extra fingers, text, watermark, logo, empty generic background, incoherent architecture",Surreal,1.0,False
